PROTOCOL,MF_FLAG,PACKET_NO,IP_FRAG_OFF,SRC_PORT,DST_IP,TTL,PACKET_SIZE,KNOWN_HOST_DEVICE,TIMESTAMP,DST_PORT,DF_FLAG,SRC_IP
N/A,0,202,0,N/A,172.16.16.128,46,20,Linux,1258920202.163672000,N/A,0,157.166.255.38
N/A,0,203,0,N/A,172.16.16.128,46,20,Linux,1258920202.164194000,N/A,0,157.166.255.38
N/A,0,204,0,N/A,157.166.255.38,128,20,Linux,1258920202.164242000,N/A,1,172.16.16.128
N/A,0,205,0,N/A,172.16.16.128,56,20,Linux,1258920202.166792000,N/A,0,204.160.104.126
N/A,0,206,0,N/A,204.160.104.126,128,20,Linux,1258920202.167512000,N/A,1,172.16.16.128
N/A,0,207,0,N/A,172.16.16.128,56,20,Linux,1258920202.171274000,N/A,0,204.160.104.126
N/A,0,208,0,N/A,204.160.104.126,128,20,Linux,1258920202.171874000,N/A,1,172.16.16.128
N/A,0,209,0,N/A,157.166.255.38,128,20,Linux,1258920202.175020000,N/A,1,172.16.16.128
N/A,0,210,0,N/A,157.166.255.38,128,20,Linux,1258920202.175387000,N/A,1,172.16.16.128
N/A,0,211,0,N/A,157.166.255.38,128,20,Linux,1258920202.178047000,N/A,1,172.16.16.128
N/A,0,212,0,N/A,172.16.16.128,56,20,Linux,1258920202.182980000,N/A,0,204.160.104.126
N/A,0,213,0,N/A,204.160.104.126,128,20,Linux,1258920202.183563000,N/A,1,172.16.16.128
N/A,0,214,0,N/A,172.16.16.128,56,20,Linux,1258920202.187157000,N/A,0,204.160.104.126
N/A,0,215,0,N/A,204.160.104.126,128,20,Linux,1258920202.187528000,N/A,1,172.16.16.128
N/A,0,216,0,N/A,172.16.16.128,56,20,Linux,1258920202.187752000,N/A,0,204.160.104.126
N/A,0,217,0,N/A,204.160.104.126,128,20,Linux,1258920202.188116000,N/A,1,172.16.16.128
N/A,0,218,0,N/A,172.16.16.128,56,20,Linux,1258920202.193023000,N/A,0,204.160.104.126
N/A,0,219,0,N/A,204.160.104.126,128,20,Linux,1258920202.193770000,N/A,1,172.16.16.128
N/A,0,220,0,N/A,172.16.16.128,56,20,Linux,1258920202.208186000,N/A,0,199.93.63.126
N/A,0,221,0,N/A,172.16.16.128,46,20,Linux,1258920202.208192000,N/A,0,157.166.255.38
N/A,0,222,0,N/A,172.16.16.128,56,20,Linux,1258920202.208194000,N/A,0,199.93.63.126
N/A,0,223,0,N/A,157.166.255.38,128,20,Linux,1258920202.208328000,N/A,1,172.16.16.128
N/A,0,224,0,N/A,199.93.63.126,128,20,Linux,1258920202.208394000,N/A,1,172.16.16.128
N/A,0,225,0,N/A,157.166.255.38,128,20,Linux,1258920202.208907000,N/A,1,172.16.16.128
