DST_IP,PACKET_NO,SRC_PORT,TCP_URP,PACKET_SIZE,TCP_FLAGS,TCP_WINDOW_SIZE,DST_PORT,TCP_ACK,PROTOCOL,KNOWN_HOST_DEVICE,DF_FLAG,TLS_EXTENSION_SIG_ALGS,TCP_HDR_LEN,MF_FLAG,TIMESTAMP,SUB_PROTOCOL,IP_FRAG_OFF,SRC_IP,TLS_CIPHER_SUITES,TCP_SEQ,TLS_VERSION,TTL,TCP_OPTIONS
162.159.128.233,119,60732,0,20,·······A····,4096,443,2912,tcp,MacOS,1,N/A,20,0,1666897695.908885000,N/A,0,192.168.86.21,N/A,3996066964,N/A,64,N/A
162.159.128.233,120,60732,0,20,·······AP···,4096,443,2912,tcp,MacOS,1,N/A,20,0,1666897695.916908000,N/A,0,192.168.86.21,N/A,3996066964,N/A,64,N/A
162.159.128.233,121,60732,0,20,·······AP···,4096,443,2912,tcp,MacOS,1,N/A,20,0,1666897695.920427000,N/A,0,192.168.86.21,N/A,3996067028,N/A,64,N/A
192.168.86.21,122,443,0,20,·······A····,8,60732,582,tcp,MacOS,1,N/A,20,0,1666897695.925189000,N/A,0,162.159.128.233,N/A,2111135723,N/A,57,N/A
192.168.86.21,123,443,0,20,·······A····,8,60732,1030,tcp,MacOS,1,N/A,20,0,1666897695.929485000,N/A,0,162.159.128.233,N/A,2111135723,N/A,57,N/A
192.168.86.21,124,443,0,20,·······AP···,8,60732,1030,tcp,MacOS,1,N/A,20,0,1666897695.992097000,N/A,0,162.159.128.233,N/A,2111135723,N/A,57,N/A
162.159.128.233,125,60732,0,20,·······A····,4079,443,3951,tcp,MacOS,1,N/A,20,0,1666897695.992420000,N/A,0,192.168.86.21,N/A,3996067476,N/A,64,N/A
162.159.135.232,126,52886,N/A,20,N/A,N/A,443,N/A,udp,MacOS,0,N/A,N/A,0,1666897696.006761000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.21,127,443,N/A,20,N/A,N/A,52886,N/A,udp,MacOS,1,N/A,N/A,0,1666897696.019992000,N/A,0,162.159.135.232,N/A,N/A,N/A,57,N/A
192.168.86.21,128,443,N/A,20,N/A,N/A,52886,N/A,udp,MacOS,0,N/A,N/A,0,1666897696.019993000,N/A,0,162.159.135.232,N/A,N/A,N/A,57,N/A
192.168.86.21,129,443,N/A,20,N/A,N/A,52886,N/A,udp,MacOS,0,N/A,N/A,0,1666897696.019994000,N/A,0,162.159.135.232,N/A,N/A,N/A,57,N/A
