PACKET_NO,KNOWN_HOST_DEVICE,DST_IP,SRC_IP,PACKET_SIZE,TIMESTAMP,TTL,DF_FLAG,MF_FLAG,IP_FRAG_OFF,PROTOCOL,SRC_PORT,DST_PORT,SUB_PROTOCOL
267,windows,10.169.169.21,208.67.222.222,20,1663877090.235573000,53,1,0,0,udp,443,62145,
268,windows,10.169.169.21,128.95.155.134,20,1663877090.294078000,43,1,0,0,tcp,80,64092,
269,windows,10.169.169.21,128.95.155.134,20,1663877090.294388000,43,1,0,0,tcp,80,64092,
270,windows,128.95.155.134,10.169.169.21,20,1663877090.294449000,128,1,0,0,tcp,64092,80,
271,windows,10.169.169.21,128.95.155.134,20,1663877090.295257000,43,1,0,0,tcp,80,64092,
272,windows,128.95.155.134,10.169.169.21,20,1663877090.295378000,128,1,0,0,tcp,64092,80,
273,windows,10.169.169.21,128.95.155.134,20,1663877090.296331000,43,1,0,0,tcp,80,64092,
274,windows,128.95.155.134,10.169.169.21,20,1663877090.296452000,128,1,0,0,tcp,64092,80,
275,windows,172.217.14.163,10.169.169.21,20,1663877090.347786000,128,1,0,0,udp,49987,443,quic
276,windows,172.217.14.163,10.169.169.21,20,1663877090.348854000,128,1,0,0,udp,49987,443,quic
277,windows,10.169.169.21,128.95.155.134,20,1663877090.386248000,43,1,0,0,tcp,80,64092,
278,windows,10.169.169.21,172.217.14.163,20,1663877090.386248000,54,1,0,0,udp,443,49987,quic
279,windows,10.169.169.21,128.95.155.134,20,1663877090.386248000,43,1,0,0,tcp,80,64092,
280,windows,128.95.155.134,10.169.169.21,20,1663877090.386691000,128,1,0,0,tcp,64092,80,
281,windows,172.217.14.163,10.169.169.21,20,1663877090.387029000,128,1,0,0,udp,49987,443,quic
282,windows,172.217.14.163,10.169.169.21,20,1663877090.388094000,128,1,0,0,udp,49987,443,quic
283,windows,10.169.169.21,172.217.14.163,20,1663877090.391055000,54,1,0,0,udp,443,49987,quic
284,windows,10.169.169.21,172.217.14.163,20,1663877090.391055000,54,1,0,0,udp,443,49987,quic
285,windows,172.217.14.163,10.169.169.21,20,1663877090.391774000,128,1,0,0,udp,49987,443,quic
286,windows,10.169.169.21,172.217.14.163,20,1663877090.396618000,54,1,0,0,udp,443,49987,quic
287,windows,10.169.169.21,172.217.14.163,20,1663877090.401854000,54,1,0,0,udp,443,49987,quic
288,windows,172.217.14.163,10.169.169.21,20,1663877090.402310000,128,1,0,0,udp,49987,443,quic
